WG801,,WG802,,WG803,,WG804,,WG806,,P02,,P06,
38.17873¢XN,141.69138¢XE,39.21195¢XN,142.10587¢XE,38.80402¢XN,141.90346¢XE,39.59104¢XN,142.19832¢XE,36.92341¢XN,141.19092¢XE,38.44083¢XN,142.51006¢XE,38.58083¢XN,142.59586¢XE
t (s),eta (m),t (s),eta (m),t (s),eta (m),t (s),eta (m),t (s),eta (m),t (s),eta (m),t (s),eta (m)
145.13599,-0.07230336,30.874788,0.26598465,201.14232,-0.45584425,199.64754,-0.053672597,255.047,-0.00489436,50.429935,0.2820018,16.35736,0.10415571
418.0463,-0.09428679,154.373934,-0.18414322,632.6441,-0.46567908,437.3403,-0.22069706,544.86786,0.114814274,281.63998,1.0627534,169.35916,0.9359621
583.647,0.006944883,296.397942,-0.10230179,885.6131,-0.020161396,736.75073,-0.51166,837.2446,0.64709806,408.64026,2.2305934,230.79132,1.040699
736.98975,0.16954912,432.24702,-0.26598465,1021.7346,0.9613544,940.65607,-5.11E-04,944.8887,0.9007214,584.4191,2.8964567,325.3721,1.8325925
908.7729,0.658998,611.3208,-0.47058824,1163.7671,1.4504263,1126.1426,0.92162913,1074.4421,0.9081424,658.28534,2.9982285,447.9471,2.3270483
1034.4943,0.63785005,815.09436,-0.10230179,1312.5549,3.0880656,1215.7109,1.0438412,1241.2753,0.7114845,767.53314,5.0146422,643.7489,3.431658
1221.6827,1.6993728,981.81816,1.3299233,1435.9679,3.3314073,1323.6876,0.71398467,1479.53,0.14773194,853.2239,4.537845,719.15845,4.9227204
1430.3964,3.230763,1043.56776,1.8618926,1621.995,5.460507,1379.3098,0.8982013,1540.7992,0.48118454,1008.03424,-1.6468216,768.3883,4.9236064
1562.4386,4.680851,1247.34132,2.1074169,1737.9136,3.1193964,1444.8563,3.6496837,1646.3287,2.3844016,1078.4902,-1.9563079,828.53186,3.266581
1623.7673,4.680503,1352.31558,3.2941177,1786.8691,2.420843,1504.1007,5.9083014,1714.0579,2.4913886,1141.1095,-0.5690417,901.8376,0.7677851
1743.5099,5.865014,1401.71526,4.2762146,1913.8708,-2.3410401,1568.175,2.9499495,1766.7605,2.288193,1322.7954,-0.19888964,1002.32227,-1.2253174
1810.9402,5.6194196,1438.76496,5.7902813,2001.3112,-0.127642,1607.9097,1.3885297,1862.3041,2.3555303,1437.047,0.4164389,1062.7682,-0.14905089
1866.1622,5.8234496,1494.3396,6.1994886,2056.1355,-1.4006902,1691.7162,3.112852,1936.8368,1.9679923,1510.7977,0.37682563,1136.5736,-0.108861126
1921.3085,5.434884,1537.56432,4.153453,2143.3015,0.27937934,1737.758,2.064836,2022.915,2.1997588,1566.4285,0.7359246,1192.2465,-0.39284667
2022.1431,2.6348083,1599.31386,1.9028133,2291.7305,1.2195889,1802.5209,1.7765507,2116.061,1.7308013,1676.9128,0.5029866,1237.8472,0.15204021
2086.0864,-0.90069383,1698.11328,1.5754476,2335.2607,1.9570605,1867.3153,1.611499,2202.5886,1.6120292,1784.638,0.6556882,1308.3916,0.37352678
2180.7097,-4.313764,1790.73762,0.42966753,2421.751,2.324321,1913.4685,0.9948014,2335.729,1.2278484,1839.8905,0.5520724,1373.1373,0.24515204
2282.2834,-1.3309284,1840.13718,1.2480818,2545.1006,2.444587,1987.6683,1.3841964,2524.6565,0.6406488,1978.3898,0.74289453,1428.1001,0.6606677
2392.879,0.26232162,1920.41178,1.0025575,2704.7815,1.2922261,2104.6426,0.027285477,2623.6282,0.4401037,2187.1138,0.34146014,1492.7932,0.5841079
2454.1816,0.05763034,2037.7359,1.9028133,2852.8728,1.5760311,2163.384,0.3347007,2716.642,0.074245855,2294.8914,0.5584277,1590.8191,1.0133523
2527.789,0.15938419,2167.41,1.5754476,3012.1316,-0.3968353,2234.5972,1.1143713,2818.3284,0.16255638,2439.4446,0.6334833,1707.8584,0.8988724
2586.0488,0.13861915,2229.1596,0.6751918,3073.458,-1.0136194,2286.7188,-0.30341664,2914.1628,0.003074436,2623.9211,0.65655535,1806.2655,0.95245874
2659.6562,0.240373,2346.48378,0.10230179,3191.0022,-0.19578332,2372.977,-1.0438061,3052.0977,0.691483,2777.8757,0.9499834,1901.8588,0.74691516
2721.0635,0.8530544,2395.8834,-0.8388747,3313.9084,-0.9370483,2453.119,-1.5581963,3175.1384,0.96660966,2854.8584,1.103124,1969.4052,0.89062405
2779.3335,0.9140266,2482.3326,-0.3478261,3400.5044,-0.36466137,2536.4966,-1.4975306,3308.2258,0.62366873,3018.193,1.5892183,2046.5372,0.68474835
2880.6985,2.2621171,2525.5575,0.6342711,3493.0112,-0.28471825,2647.9631,-0.26646057,3409.78,0.81507885,3107.5042,1.7807429,2249.7551,0.545911
2981.7837,1.4237357,2593.482,-0.6342711,3554.95,0.2882307,2706.7576,0.24634436,3564.5125,0.43213493,3175.138,1.7797769,2292.5945,0.7798531
3076.7075,0.36061174,2723.15598,-2.680307,3604.1587,0.08198031,2833.2908,0.039510217,,,3279.2637,1.289863,2593.9434,0.96663034
3229.9536,-0.23285374,2815.78032,-2.4347825,,,2950.4028,-0.78338736,,,3365.1538,1.0572762,2815.0703,1.3721817
3380.2612,0.17497972,2846.65512,-1.8209718,,,3061.7583,0.016364241,,,3565.0647,1.1572479,2903.9575,1.7105838
3484.6272,1.0121949,3149.22822,-1.9846548,,,3172.7166,-0.724307,,,,,2992.9763,1.9194489
3576.7092,1.7064395,3254.20236,-0.3887468,,,3253.0012,-0.68414503,,,,,3048.6096,1.6743245
,,3315.9519,-0.14322251,,,3357.8057,-1.34259,,,,,3162.914,1.2229923
,,3433.27608,2.1074169,,,3487.5059,-1.2413747,,,,,3239.9539,1.1077927
,,3556.77522,1.5345268,,,3555.335,-1.6118513,,,,,3495.0315,1.4103231
,,,,,,3589.4294,-1.0987645,,,,,3578.6067,0.91957617
